chulNo,hrSex,hrAge,hrWeight,hrWeightVariation,rcType,rcClass,rcDist,rcHrUnit,chaksunT,chaksunY,chaksun_6m,hrOrd1CntT,hrOrd1CntY,hrOrd2CntT,hrOrd2CntY,hrRcCntT,hrRcCntY,hrWgBudam,track,weather,meanTemperature ,minimumTemperature,miTime,maximumTemperature ,maxTime,dailyPrecipitation,maxWindspeed,meanWindspeed,maxWindspeedDirection,jkAge,jkWgOther,jkWgPart,jkRcCntT,jkOrd1CntT,jkOrd2CntT,jkRcCntY,jkOrd1CntY,jkOrd2CntY,trAge,trRcCntT,trOrd1CntT,trOrd2CntT,trRcCntY,trOrd1CntY,trOrd2CntY,rcResult
1,mare,2,461,2,general,KG6,1000,8,0,0,0,0,0,0,0,1,1,52,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,49,305,28,21,187,16,13,pass
2,stallion,2,448,-3,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,59,"7,861",689,697,176,6,8,fail
3,mare,2,441,-7,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,53,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2333,164,195,178,17,18,58,"6,986",643,710,242,26,27,fail
4,mare,2,445,0,general,KG6,1000,8,0,0,0,0,0,0,0,2,2,53,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,53,"3,232",263,280,167,23,17,pass
5,stallion,2,529,-21,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,50,"2,010",149,139,140,5,4,fail
6,stallion,2,467,0,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,53,53,5337,652,612,387,53,53,56,"10,121",785,902,368,10,21,pass
7,mare,2,471,8,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,53,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2243,136,152,191,9,10,48,"2,541",206,210,266,17,17,fail
8,stallion,2,460,0,general,KG6,1000,8,0,0,0,0,0,0,0,0,0,54,Saturation,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,48,52,52,7128,509,580,415,19,16,39,414,30,32,221,22,20,fail
1,gelding,3,463,14,general,KG6,1200,12,0,0,0,0,0,0,0,2,2,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,37,53,53,1994,119,127,95,2,2,52,"2,163",194,173,224,13,13,fail
2,stallion,2,453,-1,general,KG6,1200,12,0,0,0,0,0,0,0,2,2,50,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,50,50,37,1,1,37,1,1,52,"1,732",178,138,287,26,23,fail
3,stallion,3,488,6,general,KG6,1200,12,6500000,6500000,6500000,0,0,0,0,7,7,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,5896,1181,888,645,172,126,54,"4,258",355,380,278,13,16,pass
4,stallion,3,471,0,general,KG6,1200,12,5300000,5300000,3500000,0,0,0,0,12,12,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2243,136,152,191,9,10,56,"3,265",250,259,358,15,17,fail
5,stallion,2,453,16,general,KG6,1200,12,5250000,5250000,5250000,0,0,1,1,2,2,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,53,"3,232",263,280,167,23,17,pass
6,mare,3,483,-1,general,KG6,1200,12,0,0,0,0,0,0,0,7,7,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,38,555,29,33,251,14,14,fail
7,gelding,3,446,0,general,KG6,1200,12,4500000,4500000,4500000,0,0,0,0,6,6,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,54,"3,573",313,333,270,21,20,fail
8,stallion,3,471,-2,general,KG6,1200,12,0,0,0,0,0,0,0,3,3,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,2151,160,165,498,44,35,48,"1,919",178,172,234,19,14,fail
9,stallion,2,489,-16,general,KG6,1200,12,0,0,0,0,0,0,0,0,0,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,52,"2,163",194,173,224,13,13,pass
10,gelding,3,477,-17,general,KG6,1200,12,1000000,1000000,1000000,0,0,0,0,6,6,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,1320,106,94,374,34,32,54,"3,229",329,278,197,12,13,fail
11,stallion,3,515,5,general,KG6,1200,12,0,0,0,0,0,0,0,2,2,51,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,21,49,49,30,1,2,30,1,2,55,"7,170",575,628,197,25,18,fail
12,stallion,2,488,-8,general,KG6,1200,12,0,0,0,0,0,0,0,0,0,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,150,21,10,150,21,10,47,"2,616",300,267,415,46,43,fail
1,gelding,3,423,4,general,KG6,1300,10,7500000,7500000,4500000,0,0,0,0,12,12,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,49,49,384,45,32,110,11,10,56,"7,378",683,692,241,22,19,fail
2,stallion,3,465,6,general,KG6,1300,10,12800000,12800000,6500000,0,0,0,0,16,13,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,55,"2,009",213,180,214,10,20,fail
3,gelding,3,497,10,general,KG6,1300,10,3500000,3500000,3500000,0,0,0,0,13,13,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,48,"2,541",206,210,266,17,17,fail
4,gelding,3,459,-5,general,KG6,1300,10,6000000,6000000,6000000,0,0,0,0,8,8,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,577,23,44,123,5,4,53,"3,716",418,378,156,10,14,pass
5,stallion,2,474,-9,general,KG6,1300,10,0,0,0,0,0,0,0,1,1,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,47,"2,616",300,267,415,46,43,fail
6,mare,3,452,-8,general,KG6,1300,10,3500000,3500000,3500000,0,0,0,0,7,7,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,52,52,2692,156,216,286,12,24,52,"1,481",121,127,191,11,10,fail
7,stallion,2,475,2,general,KG6,1300,10,3500000,3500000,3500000,0,0,0,0,1,1,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,53,53,5337,652,612,387,53,53,60,"8,511",867,865,250,25,23,fail
8,gelding,3,481,7,general,KG6,1300,10,0,0,0,0,0,0,0,5,5,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,49,305,28,21,187,16,13,fail
9,mare,3,495,-8,general,KG6,1300,10,3500000,3500000,3500000,0,0,0,0,4,4,53,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,40,53,53,2212,248,248,305,50,40,39,414,30,32,221,22,20,pass
10,stallion,3,512,-5,general,KG6,1300,10,2700000,2700000,1500000,0,0,0,0,6,6,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,48,54,54,6220,661,695,192,15,19,56,"3,265",250,259,358,15,17,pass
1,stallion,4,501,-3,general,KG6,1400,8,7800000,0,0,0,0,0,0,24,11,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,54,"3,573",313,333,270,21,20,fail
2,mare,4,460,6,general,KG6,1400,8,3000000,1800000,0,0,0,0,0,28,19,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,38,48,48,928,25,50,90,0,3,54,"3,229",329,278,197,12,13,fail
3,stallion,3,490,-3,general,KG6,1400,8,0,0,0,0,0,0,0,1,1,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,1328,81,113,285,12,20,48,"1,919",178,172,234,19,14,fail
4,stallion,3,486,4,general,KG6,1400,8,6250000,6250000,6250000,0,0,1,1,7,7,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,48,"2,541",206,210,266,17,17,pass
5,gelding,3,471,-1,general,KG6,1400,8,1500000,1500000,1500000,0,0,0,0,1,1,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,150,21,10,150,21,10,37,638,54,70,269,25,38,pass
6,stallion,3,480,2,general,KG6,1400,8,6250000,6250000,6250000,0,0,1,1,9,9,55,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,48,52,52,7128,509,580,415,19,16,52,"2,163",194,173,224,13,13,fail
7,mare,4,451,5,general,KG6,1400,8,3500000,3500000,3500000,0,0,0,0,14,9,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,2151,160,165,498,44,35,38,555,29,33,251,14,14,pass
8,gelding,4,458,3,general,KG6,1400,8,21300000,21300000,7500000,0,0,1,1,26,18,56,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,54,"3,573",313,333,270,21,20,fail
1,mare,3,445,-12,general,KG5,1000,12,21750000,21750000,16150000,1,1,0,0,7,7,51,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,52,"2,163",194,173,224,13,13,fail
2,mare,4,439,14,general,KG5,1000,12,24080000,5180000,0,0,0,1,0,13,4,51,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,49,49,438,34,40,374,29,38,52,"2,163",194,173,224,13,13,fail
3,gelding,3,433,3,general,KG5,1000,12,21800000,15800000,3200000,0,0,2,2,14,11,52,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,61,"7,996",714,821,173,11,18,fail
4,mare,3,475,-3,general,KG5,1000,12,37050000,37050000,34250000,1,1,1,1,9,9,54,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,48,52,52,7128,509,580,415,19,16,58,"3,568",248,297,358,24,22,pass
5,mare,4,486,7,general,KG5,1000,12,35150000,35150000,17250000,1,1,1,1,13,10,52,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,2151,160,165,498,44,35,48,"2,541",206,210,266,17,17,fail
6,mare,5,458,2,general,KG5,1000,12,34812000,18780000,4000000,0,0,0,0,39,15,51,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,51,"3,608",333,332,207,12,22,fail
7,gelding,3,456,-1,general,KG5,1000,12,53400000,53400000,25200000,1,1,2,2,14,13,57,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,52,52,995,70,55,410,18,24,40,703,64,61,274,29,27,pass
8,stallion,3,459,2,general,KG5,1000,12,22100000,17900000,8000000,0,0,1,1,12,11,52,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,51,52,776,102,97,274,33,32,56,"10,121",785,902,368,10,21,fail
9,gelding,4,438,-9,general,KG5,1000,12,31100000,26900000,10400000,1,1,0,0,29,17,51.5,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,890,49,49,302,16,17,55,"5,731",698,653,387,47,40,pass
10,mare,3,476,2,general,KG5,1000,12,21000000,21000000,8400000,0,0,3,3,9,9,51,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,53,"3,716",418,378,156,10,14,fail
11,mare,3,505,-9,general,KG5,1000,12,18900000,18900000,2400000,1,1,0,0,3,3,52,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,30,51,51,1155,93,76,5,0,0,46,"1,580",145,157,425,48,37,fail
12,mare,3,455,5,general,KG5,1000,12,15150000,15150000,9750000,0,0,1,1,12,12,52,bad,rainy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,51,51,1219,58,71,59,2,4,55,"5,046",379,417,214,8,17,fail
1,mare,4,456,-2,general,KG4,1000,10,101450000,59450000,24200000,2,1,3,1,22,12,54,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,577,23,44,123,5,4,58,"6,986",643,710,242,26,27,fail
2,gelding,4,442,3,general,KG4,1000,10,96150000,78450000,78450000,3,2,1,1,12,8,55,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,5896,1181,888,645,172,126,38,555,29,33,251,14,14,pass
3,mare,4,445,-7,general,KG4,1000,10,81030000,72630000,13750000,1,1,3,3,18,9,54.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,52,52,431,32,25,103,2,3,46,"4,043",267,344,214,13,15,fail
4,mare,8,439,0,general,KG4,1000,10,103129000,0,0,2,0,2,0,68,13,56.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,2151,160,165,498,44,35,58,"3,568",248,297,358,24,22,pass
5,stallion,4,492,-1,general,KG4,1000,10,67060000,22400000,15400000,2,0,1,0,14,6,52.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,60,"8,511",867,865,250,25,23,pass
6,mare,3,457,7,general,KG4,1000,10,80150000,80150000,74900000,3,3,1,1,6,6,54,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,52,52,2012,279,266,680,94,104,50,"2,843",257,308,354,42,63,fail
7,mare,5,449,5,general,KG4,1000,10,115170000,7980000,4200000,2,0,5,0,31,12,54.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,50,50,857,43,41,235,8,3,46,"4,043",267,344,214,13,15,fail
8,mare,4,455,-1,general,KG4,1000,10,75520000,57220000,34650000,2,1,3,3,17,11,55,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,39,414,30,32,221,22,20,fail
9,stallion,4,446,5,general,KG4,1000,10,50950000,33550000,13200000,1,1,2,0,18,10,53,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,35,53,53,2243,136,152,191,9,10,55,"2,009",213,180,214,10,20,fail
10,gelding,6,440,8,general,KG4,1000,10,70158000,0,0,2,0,2,0,40,12,51.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,50,50,37,1,1,37,1,1,61,"7,996",714,821,173,11,18,fail
1,mare,2,493,15,general,KG5,1200,14,30250000,30250000,30250000,1,1,0,0,1,1,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,41,53,53,3068,249,258,107,8,3,45,960,119,95,274,32,25,pass
2,mare,4,454,4,general,KG5,1200,14,34700000,30500000,5600000,1,1,0,0,13,10,53.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,1320,106,94,374,34,32,54,"3,229",329,278,197,12,13,fail
3,mare,4,474,4,general,KG5,1200,14,56800000,40500000,26000000,1,1,3,1,17,10,53.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,49,49,438,34,40,374,29,38,37,638,54,70,269,25,38,fail
4,mare,4,461,-8,general,KG5,1200,14,28100000,21500000,14600000,0,0,0,0,21,12,51.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,2151,160,165,498,44,35,48,"2,541",206,210,266,17,17,fail
5,gelding,3,485,-2,general,KG5,1200,14,15250000,15250000,15250000,1,1,0,0,3,3,52.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,52,"3,077",317,298,236,24,20,fail
6,stallion,3,431,2,general,KG5,1200,14,35520000,31920000,4800000,1,1,0,0,17,14,54,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,32,52,52,2582,229,234,303,26,29,40,703,64,61,274,29,27,fail
7,stallion,3,481,3,general,KG5,1200,14,21250000,21250000,19750000,1,1,0,0,9,9,54,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,5896,1181,888,645,172,126,47,"2,616",300,267,415,46,43,fail
8,stallion,3,451,-9,general,KG5,1200,14,25650000,25650000,19350000,1,1,1,1,3,3,55,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,37,53,53,4684,584,578,397,59,62,49,"1,303",153,143,293,46,42,fail
9,stallion,3,471,-3,general,KG5,1200,14,38200000,38200000,31150000,1,1,2,2,11,11,55,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,54,"3,573",313,333,270,21,20,fail
10,gelding,3,453,-3,general,KG5,1200,14,40750000,40750000,34250000,1,1,1,1,10,10,56.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,51,52,776,102,97,274,33,32,59,"8,531",736,785,309,33,30,pass
11,stallion,3,470,-6,general,KG5,1200,14,34750000,34750000,19200000,1,1,2,2,10,10,56,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,52,52,2012,279,266,680,94,104,54,"3,573",313,333,270,21,20,pass
12,gelding,3,457,3,general,KG5,1200,14,15250000,15250000,15250000,1,1,0,0,5,5,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,21,49,49,30,1,2,30,1,2,48,"2,841",204,242,253,14,22,fail
13,mare,4,443,-4,general,KG5,1200,14,28200000,24600000,10800000,0,0,1,1,17,9,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,55,"2,009",213,180,214,10,20,fail
14,mare,3,429,-6,general,KG5,1200,14,16000000,16000000,10750000,0,0,2,2,8,8,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,60,"9,616",865,935,292,25,32,fail
1,gelding,3,445,-7,general,MG3,1800,12,59200000,49200000,14700000,1,1,1,1,8,6,57,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,57,"5,017",671,555,276,31,38,pass
2,mare,3,508,-10,general,MG3,1800,12,0,0,0,0,0,0,0,4,4,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,1320,106,94,374,34,32,44,363,41,30,219,31,14,fail
3,mare,4,478,12,general,MG3,1800,12,46880000,0,0,1,0,0,0,20,8,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,51,52,776,102,97,274,33,32,46,"4,043",267,344,214,13,15,fail
4,mare,3,451,-3,general,MG3,1800,12,78370000,78370000,57550000,1,1,2,2,10,10,52.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,40,53,53,2212,248,248,305,50,40,52,853,79,94,200,31,23,pass
5,mare,5,477,1,general,MG3,1800,12,78980000,15750000,0,0,0,2,1,34,10,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,1328,81,113,285,12,20,59,"7,861",689,697,176,6,8,fail
6,mare,3,498,-3,general,MG3,1800,12,52470000,50470000,2800000,1,1,1,1,10,9,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,48,52,52,7128,509,580,415,19,16,53,"3,232",263,280,167,23,17,fail
7,stallion,3,481,0,general,MG3,1800,12,46450000,46450000,8400000,0,0,2,2,11,11,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,49,51,51,12927,1961,1785,667,79,65,54,"3,573",313,333,270,21,20,fail
8,stallion,3,499,3,general,MG3,1800,12,102100000,102100000,76550000,1,1,2,2,11,11,56.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,5896,1181,888,645,172,126,47,"2,616",300,267,415,46,43,pass
9,gelding,3,499,-2,general,MG3,1800,12,47000000,38000000,4200000,0,0,2,2,12,10,53,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,60,"8,511",867,865,250,25,23,fail
10,mare,4,482,-4,general,MG3,1800,12,103780000,4200000,4200000,1,0,3,0,23,12,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,40,52,52,4115,230,274,156,1,7,56,"10,121",785,902,368,10,21,fail
11,mare,5,467,-18,general,MG3,1800,12,99026000,0,0,2,0,1,0,18,3,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,52,52,431,32,25,103,2,3,47,"2,616",300,267,415,46,43,fail
12,stallion,4,534,-5,general,MG3,1800,12,55550000,0,0,2,0,0,0,13,5,54.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,52,52,2012,279,266,680,94,104,35,929,154,78,269,50,26,fail
1,gelding,5,435,4,general,G2,1700,12,0,0,0,0,0,0,0,4,4,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,41,53,53,3068,249,258,107,8,3,52,"3,077",317,298,236,24,20,fail
2,mare,5,427,6,general,G2,1700,12,292048000,117600000,112500000,5,1,4,2,25,7,54.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,37,53,53,4684,584,578,397,59,62,47,"2,616",300,267,415,46,43,fail
3,mare,4,487,-9,general,G2,1700,12,135020000,82900000,68900000,3,1,2,0,15,8,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,51,51,2151,160,165,498,44,35,49,"1,303",153,143,293,46,42,pass
4,stallion,3,475,-6,general,G2,1700,12,110950000,110950000,95150000,2,2,3,3,9,9,52.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,35,929,154,78,269,50,26,fail
5,stallion,4,452,-2,general,G2,1700,12,145105000,111455000,52500000,2,1,4,3,17,11,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,49,49,438,34,40,374,29,38,37,638,54,70,269,25,38,pass
6,stallion,4,503,-12,general,G2,1700,12,101090000,19800000,19800000,1,0,4,0,16,7,53,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,23,52,52,431,32,25,103,2,3,60,"9,616",865,935,292,25,32,fail
7,stallion,3,455,2,general,G2,1700,12,114850000,87350000,12600000,3,2,0,0,8,7,54,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,32,52,52,2582,229,234,303,26,29,46,"4,043",267,344,214,13,15,fail
8,gelding,8,470,1,general,G2,1700,12,493769000,20580000,0,7,0,4,1,60,10,56,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,52,52,2933,111,134,184,1,2,60,"6,530",522,569,192,7,13,fail
9,gelding,5,463,5,general,G2,1700,12,88820000,43470000,0,1,0,3,3,23,10,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,51,51,1304,92,93,508,30,30,63,"8,592",1146,985,198,19,21,fail
10,gelding,5,435,4,general,G2,1700,12,156748000,53900000,0,2,0,4,2,37,12,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,50,50,857,43,41,235,8,3,60,"6,530",522,569,192,7,13,fail
11,stallion,6,498,-4,general,G2,1700,12,252904000,5400000,5400000,3,0,5,0,33,7,56.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,54,54,1532,101,136,58,5,6,54,"4,258",355,380,278,13,16,fail
12,gelding,4,472,7,general,G2,1700,12,189620000,91250000,62100000,4,1,4,1,17,10,53.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,150,21,10,150,21,10,54,"3,573",313,333,270,21,20,pass
1,stallion,4,501,3,general,G2,2000,13,120930000,79910000,42100000,2,2,3,0,17,10,54.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,37,53,53,4684,584,578,397,59,62,47,"2,616",300,267,415,46,43,fail
2,gelding,5,539,-1,general,G2,2000,13,196535000,12600000,12600000,3,0,1,0,30,8,54.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,1328,81,113,285,12,20,60,"9,616",865,935,292,25,32,fail
3,stallion,5,515,-3,general,G2,2000,13,178090000,101730000,83100000,1,1,7,3,33,11,55.5,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,36,54,54,1532,101,136,58,5,6,52,"1,732",178,138,287,26,23,pass
4,stallion,7,474,-4,general,G2,2000,13,269572000,16080000,10200000,6,0,1,0,42,9,57,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,26,52,52,2012,279,266,680,94,104,52,"2,163",194,173,224,13,13,pass
5,gelding,5,459,-8,general,G2,2000,13,217562000,44660000,12600000,4,0,2,0,24,10,53,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,28,52,52,50,4,3,50,4,3,56,"3,265",250,259,358,15,17,fail
6,mare,4,526,11,general,G2,2000,13,165345000,31540000,23400000,4,0,1,0,20,9,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,41,53,53,3068,249,258,107,8,3,52,"3,077",317,298,236,24,20,fail
7,gelding,3,466,5,general,G2,2000,13,144600000,144600000,81900000,2,2,4,4,10,9,57,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,34,53,53,5896,1181,888,645,172,126,49,455,75,55,214,38,28,pass
8,gelding,4,488,1,general,G2,2000,13,156120000,99270000,5400000,2,1,7,4,19,9,52,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,29,52,52,2296,175,174,549,53,54,51,"3,608",333,332,207,12,22,fail
9,mare,4,452,0,general,G2,2000,13,147570000,60550000,3600000,2,1,2,0,18,9,55,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,40,53,53,2212,248,248,305,50,40,52,853,79,94,200,31,23,fail
10,stallion,7,509,-1,general,G2,2000,13,174750000,98830000,27900000,2,1,5,2,47,14,51,bad,cloudy,21.8,19.1,1024,24.4,1522,16.5,8.8,1.2,180,24,49,49,761,32,60,378,22,30,54,"4,258",355,380,278,13,16,fail
